PlayerID,Full Name,Born,Age,Batting Style,Bowling Style,Playing Role,Height,Fielding Position
34,Ilandari Dewage Nuwan Thushara,"August 06, 1994, Thalawa",30y 345d,Right hand Bat,Right arm Medium fast,Bowler,,
35,Jeffrey Dexter Francis Vandersay,"February 05, 1990, Wattala",35y 162d,Right hand Bat,Legbreak,Bowler,5ft 7in,
36,Dunith Nethmika Wellalage,"January 09, 2003, Colombo",22y 189d,Left hand Bat,Slow Left arm Orthodox,Bowler,,
37,Chamindu Wickramasinghe,"September 06, 2002, Kandy",22y 314d,Left hand Bat,Right arm Medium fast,Batting Allrounder,,
38,Mahamarakkala Kurukulasooriya Patabendige Akila Dananjaya Perera,"October 04, 1993, Panadura",31y 286d,Left hand Bat,"Right arm Offbreak, Legbreak",Bowling Allrounder,,
39,Kongala Liyanage Janith Vimukthi,"July 12, 1995, Colombo",30y 5d,Right hand Bat,Right arm Fast medium,Batting Allrounder,5ft 8in,
40,Konganige Tharindu Hasanka Ratnayake,"April 18, 1996, Maravila",29y 90d,Left hand Bat," Right arm Offbreak, Slow Left arm Orthodox",Bowling Allrounder,,
41,Pramod Madushan Liyanagamage,"December 14, 1993, Hambantota",31y 223d,Right hand Bat,Right arm Medium fast,Bowler,,
42,Chandrasekara Arachchilage Kasun Rajitha,"June 01, 1993, Matara",32y 54d,Right hand Bat,Right arm Medium fast,Bowler,,
43,Sahan Shashintha Diyamantha Arachchige,"May 13, 1996, Ragama",29y 73d,Left hand Bat,Right arm Offbreak,Batting Allrounder,5ft 9in,
44,Chamika Deemantha Gunasekara,"November 25, 1999, Colombo",25y 242d,Right hand Bat,Right arm Medium fast,Bowler,,
45,Munasinghe Arachchige Dushan Ishara Hemantha,"May 24, 1994, Colombo",31y 62d,Right hand Bat,Legbreak,Allrounder,5ft 9in,
46,Shevon Daniel,"March 15, 2004, Colombo",21y 132d,Left hand Bat,Right arm Offbreak,Top order Batter,,
